City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,1.24,82,100,3.04,SJ,1699672485
1,ust-nera,64.5667,143.2,-27.46,97,55,2.05,RU,1699672485
2,blackmans bay,-43.0167,147.3167,18.74,47,42,2.68,AU,1699672485
3,port-aux-francais,-49.35,70.2167,2.76,85,100,15.0,TF,1699672486
4,samana,19.2056,-69.3369,26.17,88,100,4.86,DO,1699672486
5,atafu village,-8.5421,-172.5159,29.37,72,6,4.98,TK,1699672486
6,cadale,2.7603,46.3222,26.55,82,100,3.94,SO,1699672486
7,grytviken,-54.2811,-36.5092,1.99,86,48,6.01,GS,1699672486
8,jamestown,42.097,-79.2353,7.77,80,100,2.06,US,1699672346
9,kerema,-7.9631,145.7785,27.97,71,65,4.14,PG,1699672487
10,arkhangel'sk,64.5401,40.5433,0.63,98,100,1.35,RU,1699672487
11,ancud,-41.8697,-73.8203,9.23,91,100,10.75,CL,1699672487
12,morehead city,34.7229,-76.726,14.44,80,100,5.14,US,1699672321
13,cabo san lucas,22.8909,-109.9124,27.09,72,0,1.54,MX,1699671975
14,iqaluit,63.7506,-68.5145,-6.15,79,100,5.66,CA,1699672487
15,tiksi,71.6872,128.8694,-12.58,84,100,9.09,RU,1699672488
16,thompson,55.7435,-97.8558,-0.91,86,100,5.66,CA,1699672488
17,saipan,15.1355,145.701,31.39,66,20,7.72,MP,1699672488
18,turpan,42.9333,89.1667,11.2,27,100,1.63,CN,1699672488
19,san luis de la loma,17.2706,-100.8939,26.5,87,61,1.04,MX,1699672488
20,syanno,54.8106,29.7069,4.49,88,100,4.95,BY,1699672489
21,saint-philippe,-21.3585,55.7679,21.77,84,99,1.47,RE,1699672489
22,vilyuchinsk,52.9306,158.4028,2.15,99,100,1.44,RU,1699672489
23,yuzhno-kurilsk,44.0306,145.8556,5.76,88,81,12.89,RU,1699672489
24,yangambi,0.8102,24.4336,20.29,95,99,0.22,CD,1699672489
25,guigang,23.0964,109.6092,24.88,79,81,3.82,CN,1699672490
26,lazaro cardenas,17.9583,-102.2,26.33,83,4,1.1,MX,1699672490
27,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,98,75,1.79,RU,1699672490
28,adamstown,-25.066,-130.1015,22.73,82,3,4.48,PN,1699672490
29,portland,45.5234,-122.6762,11.45,87,100,2.24,US,1699671886
30,san pedro pochutla,15.7333,-96.4667,24.01,91,5,1.73,MX,1699672490
31,badger,64.8,-147.5333,-8.07,89,100,3.09,US,1699672490
32,west island,-12.1568,96.8225,28.99,70,76,5.14,CC,1699672491
33,qaqortoq,60.7167,-46.0333,-6.71,58,40,4.54,GL,1699672491
34,lalago,-3.45,33.95,22.63,67,100,3.32,TZ,1699672491
35,undurkhaan,47.3194,110.6556,-16.22,85,98,2.3,MN,1699672491
36,papatowai,-46.5619,169.4708,18.4,43,0,2.1,NZ,1699672491
37,tannum sands,-23.9504,151.3693,25.94,53,40,6.17,AU,1699672491
38,fort bragg,35.139,-79.006,12.75,65,100,1.34,US,1699672491
39,albany,42.6001,-73.9662,6.47,67,44,2.55,US,1699672446
40,margate,51.3813,1.3862,5.39,88,6,2.24,GB,1699672193
41,wailua homesteads,22.0669,-159.378,28.24,85,75,5.66,US,1699672492
42,tindouf,27.6711,-8.1474,20.71,28,31,3.1,DZ,1699672492
43,aboisso,5.4678,-3.2071,24.02,97,89,1.6,CI,1699672492
44,queenstown,-31.8976,26.8753,19.02,26,98,2.04,ZA,1699672492
45,edinburgh of the seven seas,-37.0676,-12.3116,15.17,90,100,11.18,SH,1699672387
46,st. john's,47.5649,-52.7093,2.53,92,100,10.8,CA,1699672420
47,port mathurin,-19.6833,63.4167,24.97,79,12,4.7,MU,1699672493
48,puerto natales,-51.7236,-72.4875,4.3,96,100,2.4,CL,1699672493
49,keetmanshoop,-26.5833,18.1333,21.21,35,100,2.96,NA,1699672493
50,weno,7.4515,151.8468,29.97,84,100,3.6,FM,1699672493
51,bikenibeu village,1.3673,173.1241,30.98,74,75,4.63,KI,1699672493
52,belyy yar,53.6039,91.3903,-15.06,85,75,0.0,RU,1699672494
53,kirakira,-10.4544,161.9205,27.72,83,100,5.38,SB,1699672494
54,palmer,42.1584,-72.3287,6.21,76,75,1.54,US,1699672494
55,lompoc,34.6391,-120.4579,13.9,89,0,0.0,US,1699672494
56,woolgoolga,-30.1106,153.2007,28.36,71,21,6.89,AU,1699672494
57,bodaybo,57.8506,114.1933,-8.37,92,100,1.19,RU,1699672494
58,port isabel,26.0734,-97.2086,17.02,91,100,7.72,US,1699672340
59,invercargill,-46.4,168.35,19.45,53,2,4.47,NZ,1699672495
60,alofi,-19.0595,-169.9187,24.94,94,100,1.54,NU,1699672495
61,whitehorse,60.7161,-135.0538,-0.55,100,100,0.89,CA,1699672495
62,chui,-33.6971,-53.4616,16.89,92,100,7.54,UY,1699672341
63,broome,42.2506,-75.833,6.68,77,98,0.89,US,1699672495
64,bethel,41.3712,-73.414,7.49,75,6,0.45,US,1699672389
65,guerrero negro,27.9769,-114.0611,19.84,54,0,5.44,MX,1699672496
66,comodoro rivadavia,-45.8667,-67.5,16.92,27,0,8.23,AR,1699672390
67,lebu,-37.6167,-73.65,11.67,79,100,9.87,CL,1699672496
68,la gi,10.6667,107.7833,29.34,70,72,6.62,VN,1699672496
69,margaret river,-33.95,115.0667,20.66,44,69,3.17,AU,1699672443
70,rimouski,48.4488,-68.524,2.82,78,97,1.33,CA,1699672313
71,longyearbyen,78.2186,15.6401,-10.09,73,75,4.12,SJ,1699672497
72,fale old settlement,-9.3852,-171.2468,29.04,75,25,4.43,TK,1699672497
73,baidoa,3.1138,43.6498,22.67,89,93,4.24,SO,1699672497
74,ushuaia,-54.8,-68.3,4.81,87,100,2.06,AR,1699672166
75,usman',52.0466,39.7288,4.49,89,84,8.49,RU,1699672497
76,ribeira grande,38.5167,-28.7,19.9,89,15,9.54,PT,1699672498
77,kirensk,57.7853,108.1119,-10.58,70,80,1.79,RU,1699672498
78,waitangi,-43.9535,-176.5597,11.01,83,63,0.45,NZ,1699672498
79,dombarovskiy,50.7587,59.5386,7.22,66,100,6.71,RU,1699672498
80,monguno,12.6786,13.6079,26.03,43,95,2.97,NG,1699672498
81,natchez,31.5604,-91.4032,13.47,94,100,3.09,US,1699672499
82,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1699672499
83,mil'kovo,55.6078,37.7956,5.23,86,93,4.16,RU,1699672499
84,bredasdorp,-34.5322,20.0403,15.57,79,100,2.53,ZA,1699672499
85,dickson,36.077,-87.3878,11.11,76,75,1.54,US,1699672499
86,nemuro,43.3236,145.575,4.9,53,35,11.47,JP,1699672500
87,tazovsky,67.4667,78.7,-9.53,96,100,2.42,RU,1699672500
88,alakurtti,66.9672,30.3491,-13.2,97,24,1.86,RU,1699672500
89,hawaiian paradise park,19.5933,-154.9731,22.15,94,100,2.57,US,1699672500
90,mount gambier,-37.8333,140.7667,17.63,43,7,4.9,AU,1699672498
91,kalifornsky,60.4183,-151.29,-0.92,97,100,0.0,US,1699672501
92,semporna,4.4818,118.6112,28.61,76,63,1.69,MY,1699672501
93,waterloo,43.4668,-80.5164,4.93,81,100,2.57,CA,1699671846
94,colonia,50.9333,6.95,7.76,91,75,5.14,DE,1699672368
95,oppdal,62.5943,9.6912,-4.35,97,100,2.32,NO,1699672501
96,zhangye,38.9342,100.4517,-0.16,28,0,0.56,CN,1699672502
97,valparaiso,-33.0393,-71.6273,13.8,100,75,1.03,CL,1699672502
98,minas de marcona,-15.2119,-75.1103,15.22,87,59,4.0,PE,1699672503
99,carnarvon,-24.8667,113.6333,21.6,69,4,8.93,AU,1699672274
100,el alto,-4.2714,-81.2147,19.31,81,36,7.17,PE,1699672505
101,gastouni,37.85,21.25,19.02,72,40,0.0,GR,1699672506
102,porec,45.2258,13.5939,14.14,91,56,8.66,HR,1699672506
103,pandan,14.0453,124.1694,28.5,79,100,3.71,PH,1699672507
104,vilyuysk,63.7553,121.6247,-16.67,97,99,1.79,RU,1699672507
105,lihue,21.9789,-159.3672,28.58,81,75,5.66,US,1699672507
106,naze,28.3667,129.4833,22.51,67,100,6.33,JP,1699672507
107,kodiak,57.79,-152.4072,1.73,51,0,7.72,US,1699672508
108,yellowknife,62.456,-114.3525,1.9,100,100,2.57,CA,1699672508
109,ascension,30.2169,-90.9001,21.11,96,100,3.6,US,1699672508
110,carlsbad,33.1581,-117.3506,17.93,65,0,2.57,US,1699672508
111,puerto lempira,15.2667,-83.7667,26.41,88,54,2.52,HN,1699672509
112,isafjordur,66.0755,-23.124,-0.19,80,69,1.16,IS,1699672509
113,palmares do sul,-30.2578,-50.5097,19.8,91,100,9.11,BR,1699672510
114,villa altagracia,18.673,-70.171,24.51,91,86,1.61,DO,1699672510
115,horta,38.5333,-28.6333,19.42,90,32,9.56,PT,1699672510
116,trat,12.5,102.5,29.11,74,74,2.37,TH,1699672510
117,prince rupert,54.3161,-130.3201,7.83,94,100,13.89,CA,1699672511
118,anadyr,64.75,177.4833,-14.72,78,20,7.0,RU,1699672511
119,tuy hoa,13.0833,109.3,28.19,78,76,3.24,VN,1699672511
120,monahans,31.5943,-102.8926,9.39,73,100,3.85,US,1699672512
121,aasiaat,68.7098,-52.8699,-10.89,91,98,2.93,GL,1699672512
122,sona,45.4388,10.8255,6.85,87,0,5.14,IT,1699672512
123,fort st. john,56.2499,-120.8529,0.94,69,75,4.12,CA,1699672512
124,kinana,14.0361,33.1712,26.08,61,21,1.97,SD,1699672513
125,iskateley,67.6803,53.1512,-8.88,93,96,3.13,RU,1699672513
126,codrington,-38.2667,141.9667,16.35,50,6,6.65,AU,1699672513
127,lerwick,60.1545,-1.1494,6.0,78,98,9.48,GB,1699672513
128,parnamirim,-5.9156,-35.2628,25.94,78,20,4.12,BR,1699672514
